Data_Negociacao,Preco_Real,Preco_Previsto
2024-08-20,23.67000008,23.707695
2024-08-21,50.83000183,51.405197
2024-08-22,32.81000137,32.791645
2024-08-23,27.70000076,28.141068
2024-08-26,74.15000153,74.36841
2024-08-27,63.27999878,63.128254
2024-08-28,68.59999847,68.23185
2024-08-29,32.5,32.902443
2024-08-30,34.29999924,34.101948
2024-09-03,71.55999756,71.5722
2024-09-04,34.83000183,35.145866
2024-09-05,47.31999969,47.192657
2024-09-06,57.15999985,57.653435
2024-09-09,69.23000336,70.00268
2024-09-10,41.50999832,41.664066
2024-09-11,29.75,31.045752
2024-09-12,32.61000061,32.46467
2024-09-13,29.14999962,29.151525
2024-09-16,42.65999985,42.529533
2024-09-17,28.64999962,28.713837
2024-09-18,24.20000076,24.705507
2024-09-19,32.68000031,32.158813
2024-09-20,47.16999817,47.393814
2024-09-23,71.55999756,71.50958
2024-09-24,76.98000336,76.47742
2024-09-25,72.94000244,72.499626
2024-09-26,27.80999947,28.424852
2024-09-27,37.59999847,36.87927
2024-09-30,22.60000038,23.239355
2024-10-01,77.62000275,77.70066
2024-10-02,28.36000061,27.953646
2024-10-03,39.25,38.549473
2024-10-04,30.26000023,29.921038
2024-10-07,68.58000183,69.54742
2024-10-08,33.88999939,33.793465
2024-10-09,49.45999908,49.019684
2024-10-10,37.49000168,37.132584
2024-10-11,42.68000031,42.459362
2024-10-14,21.32999992,23.09411
2024-10-15,69.58999634,69.36778
2024-10-16,59.43999863,60.313244
2024-10-17,56.36000061,55.68895
2024-10-18,61.70999908,61.616077
2024-10-21,32.79999924,33.256752
2024-10-22,50.75999832,50.594368
2024-10-23,33.04999924,32.56646
2024-10-24,34.88000107,34.536472
2024-10-25,66.58999634,64.96185
2024-10-28,28.92000008,28.381905
2024-10-29,47.52000046,47.42219
2024-10-30,61.97000122,61.623447
2024-10-31,42.95999908,42.51167
2024-11-01,50.59000015,50.920326
2024-11-04,26.92000008,27.14659
2024-11-05,33.22000122,33.246227
2024-11-06,52.75999832,52.252495
2024-11-07,81.38999939,80.0774
2024-11-08,56.40000153,56.599476
2024-11-11,75.27999878,75.866745
2024-11-12,33.75,33.281628
2024-11-13,56.11000061,56.985966
2024-11-14,32.54999924,32.662014
2024-11-15,58.04999924,57.91647
2024-11-18,52.88000107,52.17238
2024-11-19,39.95000076,39.80038
2024-11-20,78.02999878,79.0599
2024-11-21,77.47000122,76.73995
2024-11-22,29.82999992,30.337242
2024-11-25,30.67000008,30.08511
2024-11-26,31.19000053,30.774532
2024-11-27,35.77000046,35.964687
2024-11-29,71.37999725,71.07629
2024-12-02,33.06000137,33.08443
2024-12-03,46.18999863,46.628967
2024-12-04,64.83999634,64.87526
2024-12-05,61.86000061,61.88493
2024-12-06,64.47000122,65.33317
2024-12-09,76.18000031,75.79169
2024-12-10,36.83000183,36.20996
2024-12-11,42.54000092,42.913208
2024-12-12,46.27000046,46.103798
2024-12-13,42.59999847,43.404938
2024-12-16,29.55999947,29.72969
2024-12-17,51.72999954,51.64537
2024-12-18,33.86999893,32.824944
2024-12-19,31.37000084,31.302727
2024-12-20,35.20000076,35.16933
2024-12-23,63.79000092,62.93739
2024-12-24,31.56999969,31.45183
2024-12-26,37.13999939,37.570538
2024-12-27,58.38000107,58.624462
2024-12-30,22.56999969,22.692886
2024-12-31,32.99000168,33.369648
2025-01-02,67.81999969,68.123276
2025-01-03,33.40999985,33.29244
2025-01-06,51.91999817,52.531883
2025-01-07,32.31999969,32.825436
2025-01-08,31.07999992,30.958078
2025-01-10,78.63999939,78.75219
2025-01-13,28.06999969,28.103575
2025-01-14,43.81999969,43.808453
2025-01-15,55.79000092,55.715023
2025-01-16,23.78000069,23.202147
2025-01-17,59.00999832,58.778904
2025-01-21,63.47000122,63.086823
2025-01-22,37.40000153,36.841724
2025-01-23,26.82999992,26.89685
2025-01-24,50.97999954,50.988747
2025-01-27,38.99000168,39.244606
2025-01-28,34.36999893,33.621376
2025-01-29,59.29000092,59.925014
2025-01-30,47.59000015,47.40377
2025-01-31,43.83000183,43.225147
2025-02-03,78.37999725,77.62193
2025-02-04,72.48000336,72.77665
2025-02-05,30.59000015,31.022552
